,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Number
4.25,0.11,38,38.22,-0.93,-0.75,38.24,35.25,26.17,-31.37,53.96,0.77,253.72,363.4,326.84,0,1,2
3.81,0.51,38.07,38.23,-1.23,-1.26,38.27,25.29,26.72,-26.58,45.39,0.33,541.85,783.37,702.86,0,1,2
3.77,0.37,38.31,38.46,-1.09,-1.3,38.5,23.36,37.24,-18.68,47.77,0.24,778.98,999.52,926.01,0,1,2
3.94,0.38,38.65,38.81,-1.13,-1.18,38.85,11.32,44.48,-16.56,48.8,0.26,648.07,890.37,809.61,0,1,2
3.92,0.11,38.9,39.07,-0.86,-1.18,39.09,-2.44,42.36,-20.86,47.28,0.26,624.12,910.54,815.07,0,1,2
3.53,-0.14,38.96,39.08,-0.54,-1.53,39.12,-14.37,43.08,-24.27,51.49,0.41,524.62,749.81,674.74,0,1,2
3.61,-0.39,38.7,38.85,-0.31,-1.37,38.87,-18.95,48.42,-22.66,56.72,0.6,285.06,403.18,363.81,0,1,2
3.65,-0.19,38.52,38.67,-0.51,-1.34,38.69,-8.94,40.75,-21.48,46.93,0.38,418.67,617.91,551.5,0,1,9
3.59,-0.09,38.33,38.47,-0.6,-1.39,38.5,-9.71,34.21,-27.28,44.82,0.33,528.48,727.49,661.16,0,1,9
3.29,-0.18,38.38,38.49,-0.45,-1.68,38.52,-5.44,24.92,-21.24,33.2,0.27,656.19,929.74,838.56,0,1,9
3.16,-0.02,38.21,38.3,-0.58,-1.81,38.34,-5.08,29.13,-17.41,34.31,0.22,803.37,1142.15,1029.22,0,1,9
3.29,0.18,38.14,38.24,-0.81,-1.71,38.28,-7.8,33.68,-15.29,37.8,0.21,855.8,1192.34,1080.16,0,1,9
3.42,-0.11,38.23,38.34,-0.54,-1.55,38.38,-12.73,28.31,-11.47,33.09,0.24,788.29,1107.72,1001.25,0,1,9
3.2,0.09,38.51,38.59,-0.7,-1.83,38.64,-24.09,29.06,-14.23,40.34,0.22,754.68,1127.7,1003.36,0,1,9
3.17,0.32,38.68,38.76,-0.92,-1.93,38.82,-14.6,20.28,-19.13,31.47,0.25,712.72,1060.69,944.7,0,1,9
3.27,0.19,38.81,38.9,-0.81,-1.82,38.95,-2.12,32.78,-19.54,38.22,0.24,804.82,1087.09,993,0,1,9
3.32,0.04,38.86,38.95,-0.68,-1.76,39,-7.25,35.31,-15.95,39.42,0.23,763.65,1036.96,945.86,0,1,9
2.93,-0.42,38.82,38.88,-0.15,-2.05,38.93,-29.48,30.61,-16.52,45.59,0.38,516.93,744.16,668.42,0,1,9
3.76,0.73,38.75,38.88,-1.44,-1.44,38.94,-44.76,35.84,-21.76,61.34,0.6,282.48,395.37,357.74,0,1,9
3.8,0.86,38.88,39.02,-1.57,-1.44,39.07,-31.44,44.56,-19.53,57.93,0.66,286.69,398.49,361.22,0,1,9
4.03,0.26,38.74,38.92,-1.03,-1.09,38.95,-35.18,57.7,-16.88,69.65,1.28,151.81,198.35,182.84,0,1,9
4.24,1.31,38.64,38.82,-2.1,-1.08,38.89,-30.14,75.65,-15.2,82.84,1.53,113.71,157.16,142.68,0,1,9
4.29,1.79,38.51,38.69,-2.58,-1.09,38.79,-27.98,86.01,-14.34,91.58,1.45,120.29,169.6,153.16,0,1,9
3.73,3.8,38.39,38.45,-4.44,-2.01,38.75,-34.78,96.1,-13.7,103.12,1.64,114.32,148.93,137.39,0,1,9
4.22,3.81,38.25,38.37,-4.54,-1.51,38.67,-39.69,102.68,-12.28,110.77,2.01,101.24,126.92,118.36,0,1,9
4.39,3.77,38.12,38.26,-4.54,-1.33,38.55,-30.08,77.87,-10.07,84.09,1.6,107.92,155.64,139.74,0,1,9
3.6,4.42,38.11,38.14,-5.03,-2.21,38.53,-38.59,68.85,-15.27,80.39,1.59,104.04,143.2,130.15,0,1,9
