,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
9.12,-17.12,21.03,21.48,18.49,-3.91,28.61,-34.4,17.86,3.23,38.9,0.09,2754.28,2580.97,2638.74,0,0,0
9.29,-17.13,21.13,21.57,18.61,-3.79,28.75,-14.82,9.83,-6.42,18.91,0.08,3039.77,2656.37,2784.17,0,0,0
9.48,-17.3,21.12,21.56,18.87,-3.78,28.9,-1.58,11.69,1.03,11.84,0.08,2804.62,2797.09,2799.6,0,0,0
9.72,-17.31,21.11,21.54,19.05,-3.62,28.98,-0.2,21.92,4.78,22.44,0.09,2569.88,2744.1,2686.03,0,0,0
9.92,-17.29,21.07,21.48,19.18,-3.47,29.01,28.11,-0.13,-15.29,32,0.09,2942.27,2613.33,2722.98,0,0,0
9.83,-17.05,21.15,21.55,18.95,-3.36,28.89,-11.85,-18.78,-17.19,28.08,0.09,2591.06,2710.79,2670.88,0,0,0
9.74,-16.78,21.35,21.74,18.69,-3.21,28.85,-2.16,0.3,-11.28,11.49,0.1,2053.03,2287.07,2209.06,0,0,0
9.74,-16.66,21.35,21.73,18.61,-3.12,28.78,-1.55,3.59,-3.78,5.44,0.12,1924.57,1889.74,1901.35,0,0,0
9.7,-16.51,21.33,21.7,18.48,-3.06,28.67,-21.38,-2.45,1.11,21.55,0.11,2235.72,2178.6,2197.64,0,0,0
9.41,-16.49,21.42,21.81,18.25,-3.22,28.62,-32.35,-0.34,-2.37,32.44,0.08,2682.24,2825.47,2777.73,0,0,0
9.43,-16.67,21.17,21.57,18.39,-3.37,28.55,-34.98,-18.23,-14.64,42.08,0.08,2962.88,2648.47,2753.27,0,0,0
9.29,-16.99,20.94,21.37,18.51,-3.71,28.52,-28.28,18.1,9.07,34.78,0.1,2151.98,2352.89,2285.92,0,0,0
8.99,-17.33,20.95,21.42,18.54,-4.16,28.64,-33.77,28.98,10.46,45.72,0.11,1987.23,2417.87,2274.33,0,0,0
8.84,-17.37,20.94,21.42,18.46,-4.3,28.61,-44.26,18.84,19.54,51.92,0.11,2277.31,2309.61,2298.84,0,0,0
8.53,-17.53,21.07,21.59,18.34,-4.62,28.7,-40.81,23.71,29.08,55.44,0.1,2647.21,2252.34,2383.96,0,0,0
8.48,-17.43,21.1,21.61,18.24,-4.58,28.65,-25.82,55.32,27.31,66.88,0.09,2958.36,2605.15,2722.89,0,0,0
8.41,-17.62,21.11,21.64,18.33,-4.76,28.76,-28.4,75.78,43.18,91.72,0.08,3137,2876.15,2963.1,0,0,0
8.57,-17.48,21.29,21.8,18.34,-4.53,28.85,-26.19,41.08,34.67,59.8,0.08,3147.9,2666.89,2827.23,0,0,0
8.7,-17.53,21.33,21.84,18.47,-4.47,28.95,-36.48,40.09,23.7,59.16,0.08,2825.36,2927.24,2893.28,0,0,0
8.74,-17.55,21.45,21.95,18.52,-4.45,29.06,-30.92,38.18,31.16,58.18,0.08,2572.75,2885.5,2781.25,0,0,0
8.84,-17.64,21.43,21.93,18.65,-4.44,29.13,-28.61,35.27,42.25,62.03,0.08,2556.86,2690.23,2645.77,0,0,0
9.04,-17.69,21.35,21.85,18.83,-4.35,29.17,-51.42,46.93,34.1,77.52,0.08,2606.36,2873.27,2784.3,0,0,0
9.16,-17.57,21.45,21.93,18.83,-4.17,29.2,-63.1,47.53,17.14,80.83,0.08,2510.96,3029.18,2856.44,0,0,0
9.17,-17.28,21.77,22.23,18.63,-3.93,29.27,-39.29,48.97,34.42,71.6,0.09,2324.38,2565.86,2485.36,0,0,0
9.1,-17.06,21.91,22.35,18.43,-3.81,29.22,-25.21,38,26.97,52.98,0.09,2642.62,2418.83,2493.42,0,0,0
9.06,-16.83,21.98,22.41,18.24,-3.66,29.13,-23.15,36.26,8.35,43.83,0.08,2780.37,2740.93,2754.08,0,0,0
8.83,-16.93,21.8,22.25,18.14,-3.91,28.98,-35.64,46.45,9.89,59.38,0.08,2754.07,3085.97,2975.34,0,0,0
9.09,-16.93,21.82,22.26,18.33,-3.73,29.08,-47.93,39.47,25.37,67.08,0.08,2760.13,3000.02,2920.06,0,0,0
9.02,-16.85,21.72,22.16,18.22,-3.73,28.93,-24.45,-6.68,10.84,27.57,0.09,2404.55,2594.37,2531.1,0,0,0
9,-17.02,21.71,22.16,18.33,-3.87,29.02,-32.33,20.05,31.89,49.64,0.08,3097.61,2617.58,2777.59,0,0,0
